检验,核心变量,系数,标准误,p值,样本量,R²
基准(二值digital),digital,0.12091953763494254,0.0047250064847687056,1.9017439678973459e-144,3240,0.960561691432616
T1(连续强度),digital_intensity,0.047660537076412574,0.00824360938767842,7.403163975314419e-09,3240,0.9532273080157826
